elapsed_s,lat_deg,lon_deg,yaw_rad,speed_mps
19.9251554,39.00049655,-76.5,2.727331352e-12,3
19.97538604,39.0004979,-76.5,-3.906796361e-12,3
20.02558588,39.00049925,-76.5,4.329778442e-12,3
20.07578818,39.00050061,-76.5,-1.856632038e-12,3
20.125993,39.00050196,-76.5,9.650942042e-12,3
20.17618289,39.00050331,-76.5,1.952654479e-12,3
20.22638621,39.00050466,-76.5,2.004020555e-12,3
20.27659283,39.00050601,-76.5,1.378078178e-12,3
20.32676749,39.00050736,-76.5,2.947519706e-12,3
20.37706038,39.00050871,-76.5,9.102581997e-12,3
20.42731973,39.00051006,-76.5,-1.184708725e-12,3
20.47758992,39.00051141,-76.5,2.189124364e-12,3
20.52784945,39.00051277,-76.5,2.739572883e-12,3
20.57812457,39.00051412,-76.5,4.840813878e-12,3
20.6283642,39.00051547,-76.5,1.787395927e-12,3
20.67861883,39.00051682,-76.5,5.969832038e-13,3
20.72883349,39.00051817,-76.5,4.126051608e-12,3
20.77913411,39.00051952,-76.5,-8.007641172e-13,3
20.82941615,39.00052087,-76.5,5.365541988e-12,3
20.87969809,39.00052222,-76.5,7.608600396e-12,3
20.92995121,39.00052357,-76.5,5.603007634e-12,3
20.98022674,39.00052493,-76.5,6.184875456e-12,3
21.03045374,39.00052628,-76.5,-4.421576911e-12,3
21.08074811,39.00052763,-76.5,5.301433275e-12,3
21.13104806,39.00052898,-76.5,-4.856254084e-12,3
21.18131599,39.00053033,-76.5,2.687101115e-12,3
21.23157014,39.00053168,-76.5,4.948973045e-13,3
21.28184656,39.00053303,-76.5,4.184556773e-12,3
21.33220905,39.00053438,-76.5,3.562771997e-12,3
21.38249201,39.00053574,-76.5,1.417446398e-12,3
21.43276218,39.00053709,-76.5,8.145766836e-14,3
21.48300469,39.00053844,-76.5,4.521282785e-12,3
21.53330133,39.00053979,-76.5,9.112375367e-12,3
21.58353539,39.00054114,-76.5,-4.195501803e-12,3
21.63377521,39.00054249,-76.5,-4.568591013e-13,3
21.68404131,39.00054384,-76.5,-3.136269681e-12,3
21.73435247,39.00054519,-76.5,5.951724204e-12,3
21.78461125,39.00054655,-76.5,1.006558483e-12,3
21.83486502,39.0005479,-76.5,-5.551174865e-12,3
21.88513056,39.00054925,-76.5,9.694192011e-12,3
21.93541474,39.0005506,-76.5,4.397266741e-13,3
21.98571684,39.00055195,-76.5,-8.094672695e-13,3
22.0359632,39.0005533,-76.5,2.319919783e-12,3
22.08617498,39.00055465,-76.5,-1.408020561e-12,3
22.13643269,39.000556,-76.5,-9.571131185e-14,3
22.18673234,39.00055735,-76.5,-2.299177838e-13,3
22.23697336,39.0005587,-76.5,-3.491517631e-12,3
22.28720703,39.00056006,-76.5,7.271981602e-12,3
22.33748045,39.00056141,-76.5,-4.14498152e-12,3
22.38770358,39.00056276,-76.5,4.669374763e-12,3
22.43794302,39.00056411,-76.5,7.066948482e-12,3
22.48817122,39.00056546,-76.5,-4.245691398e-12,3
22.53842821,39.00056681,-76.5,7.457184703e-12,3
22.58866654,39.00056816,-76.5,7.67021357e-12,3
22.63890658,39.00056952,-76.5,-2.987446791e-12,3
22.68924902,39.00057086,-76.5,-2.987446791e-12,3
22.73950128,39.00057222,-76.5,1.579163542e-12,3
22.78978196,39.00057357,-76.5,-7.423468684e-13,3
22.84000353,39.00057492,-76.5,-2.164181316e-12,3
22.89034613,39.00057627,-76.5,3.828963392e-12,3
22.94060651,39.00057762,-76.5,2.333064375e-12,3
22.99088959,39.00057897,-76.5,-3.291742817e-12,3
23.04117839,39.00058032,-76.5,-7.14761876e-12,3
23.09142184,39.00058167,-76.5,-4.578460963e-12,3
23.14169017,39.00058303,-76.5,9.574099003e-13,3
23.19199566,39.00058438,-76.5,2.095886271e-12,3
23.24229496,39.00058573,-76.5,-8.301061098e-12,3
23.29260316,39.00058708,-76.5,-6.461107691e-12,3
23.34287145,39.00058843,-76.5,-6.076535195e-12,3
23.39317862,39.00058978,-76.5,-2.523291385e-12,3
23.44338724,39.00059113,-76.5,3.901523837e-12,3
23.49363519,39.00059248,-76.5,1.25459615e-12,3
23.54388471,39.00059384,-76.5,2.825077824e-12,3
23.59418255,39.00059519,-76.5,4.428642145e-12,3
